Protein_ID	Swiss-Prot_Hit	SP_E-value	Swiss-Prot_Description	Trembl_Hit	TB_E-value	Trembl_Description	NCBI_hit	nr_E-value	NCBI_Description	GO_Swiss-Prot	GO_Trembl
evm.model.Ap11.10	NA	NA	NA	tr|A0A2B4RD84|A0A2B4RD84_STYPI	1.08e-47	Tyrosine kinase receptor Cad96Ca OS=Stylophora pistillata GN=Cad96Ca PE=4 SV=1	ref|XP_015777930.1|	2.51e-50	PREDICTED: uncharacterized protein LOC107355821 [Acropora digitifera]	NA	GO:0016021; GO:0005524; GO:0004713
evm.model.Ap11.11	sp|O42097|FOXA2_ORYLA	2.32e-81	Hepatocyte nuclear factor 3-beta OS=Oryzias latipes GN=foxa2 PE=2 SV=1	tr|A0A2B4SCA7|A0A2B4SCA7_STYPI	0	Hepatocyte nuclear factor 3-beta OS=Stylophora pistillata GN=foxa2 PE=4 SV=1	ref|XP_020609493.1|	0	forkhead box protein A2-A-like [Orbicella faveolata]	GO:0005634; GO:0003700; GO:0019904; GO:0043565; GO:0008134; GO:0006351	GO:0005634; GO:0003700; GO:0019904; GO:0043565; GO:0008134
evm.model.Ap11.12	sp|Q10126|YSM6_CAEEL	2.38e-14	Putative uncharacterized transposon-derived protein F52C9.6 OS=Caenorhabditis elegans GN=F52C9.6 PE=5 SV=1	tr|A0A2B4RZJ0|A0A2B4RZJ0_STYPI	2.19e-68	Putative uncharacterized transposon-derived protein F52C9.6 OS=Stylophora pistillata GN=F52C9.6 PE=4 SV=1	gb|PFX21970.1|	3.39e-68	putative uncharacterized transposon-derived protein F52C9.6 [Stylophora pistillata]		
evm.model.Ap11.13	sp|Q14774|HLX_HUMAN	8.63e-28	H2.0-like homeobox protein OS=Homo sapiens GN=HLX PE=1 SV=3	tr|A0A2B4SC02|A0A2B4SC02_STYPI	2.82e-144	H2.0-like homeobox protein OS=Stylophora pistillata GN=Hlx PE=4 SV=1	ref|XP_020609474.1|	3.19e-158	H2.0-like homeobox protein [Orbicella faveolata]	GO:0005634; GO:0043565; GO:0030154; GO:0048557; GO:0048484; GO:0001889; GO:0007275; GO:0045629; GO:0008284; GO:0046622; GO:0045627; GO:0006355; GO:0007519; GO:0006351	GO:0005634; GO:0043565; GO:0006355
evm.model.Ap11.14	NA	NA	NA	tr|A0A2B4S1H7|A0A2B4S1H7_STYPI	0	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene11675 PE=4 SV=1	ref|XP_020609428.1|	0	uncharacterized protein LOC110048011 [Orbicella faveolata]	NA	
evm.model.Ap11.14.1.5f15db9e	NA	NA	NA	tr|A0A2B4S1H7|A0A2B4S1H7_STYPI	0	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene11675 PE=4 SV=1	ref|XP_020609428.1|	0	uncharacterized protein LOC110048011 [Orbicella faveolata]	NA	
evm.model.Ap11.14.2.5f15db9e	NA	NA	NA	tr|A0A2B4S1H7|A0A2B4S1H7_STYPI	0	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene11675 PE=4 SV=1	ref|XP_020609428.1|	0	uncharacterized protein LOC110048011 [Orbicella faveolata]	NA	
evm.model.Ap11.15	sp|Q86UK0|ABCAC_HUMAN	0	ATP-binding cassette sub-family A member 12 OS=Homo sapiens GN=ABCA12 PE=1 SV=3	tr|A7RI12|A7RI12_NEMVE	0	Predicted protein OS=Nematostella vectensis GN=v1g82333 PE=4 SV=1	ref|XP_020609382.1|	0	ATP-binding cassette sub-family A member 3-like [Orbicella faveolata]	GO:0005737; GO:0005829; GO:0097209; GO:0016021; GO:0043231; GO:0005743; GO:0005886; GO:0034191; GO:0005524; GO:0042626; GO:0005319; GO:0034040; GO:0005102; GO:0019725; GO:0035627; GO:0061436; GO:0031424; GO:0055088; GO:0006869; GO:0048286; GO:0033700; GO:0010875; GO:2000010; GO:0072659; GO:0045055; GO:0032940; GO:0043129; GO:0055085	GO:0016021; GO:0043231; GO:0005524; GO:0042626; GO:0006869
evm.model.Ap11.15.1.5f15db9f	sp|Q86UK0|ABCAC_HUMAN	0	ATP-binding cassette sub-family A member 12 OS=Homo sapiens GN=ABCA12 PE=1 SV=3	tr|A7RI12|A7RI12_NEMVE	0	Predicted protein OS=Nematostella vectensis GN=v1g82333 PE=4 SV=1	ref|XP_020609382.1|	0	ATP-binding cassette sub-family A member 3-like [Orbicella faveolata]	GO:0005737; GO:0005829; GO:0097209; GO:0016021; GO:0043231; GO:0005743; GO:0005886; GO:0034191; GO:0005524; GO:0042626; GO:0005319; GO:0034040; GO:0005102; GO:0019725; GO:0035627; GO:0061436; GO:0031424; GO:0055088; GO:0006869; GO:0048286; GO:0033700; GO:0010875; GO:2000010; GO:0072659; GO:0045055; GO:0032940; GO:0043129; GO:0055085	GO:0016021; GO:0043231; GO:0005524; GO:0042626; GO:0006869
evm.model.Ap11.16	NA	NA	NA	tr|A0A147BUD8|A0A147BUD8_IXORI	3.7e-60	Putative reverse transcriptase (Fragment) OS=Ixodes ricinus PE=4 SV=1	ref|XP_015748763.1|	8.31e-71	PREDICTED: uncharacterized protein LOC107328554 [Acropora digitifera]	NA	GO:0003964
evm.model.Ap11.17	sp|Q8R420|ABCA3_MOUSE	3.64e-15	ATP-binding cassette sub-family A member 3 OS=Mus musculus GN=Abca3 PE=1 SV=3	tr|A7RI12|A7RI12_NEMVE	2.84e-38	Predicted protein OS=Nematostella vectensis GN=v1g82333 PE=4 SV=1	ref|XP_020609382.1|	3.01e-116	ATP-binding cassette sub-family A member 3-like [Orbicella faveolata]	GO:0097208; GO:0097233; GO:0016021; GO:0043231; GO:0005886; GO:0005524; GO:0042626; GO:0006869; GO:0051384	GO:0016021; GO:0043231; GO:0005524; GO:0042626; GO:0006869
evm.model.Ap11.18	NA	NA	NA	tr|A0A2B4RPK6|A0A2B4RPK6_STYPI	1.84e-51	Ficolin-1 OS=Stylophora pistillata GN=FCN1 PE=4 SV=1	ref|XP_020603635.1|	1.75e-71	ficolin-2-like [Orbicella faveolata]	NA	
evm.model.Ap11.19	sp|Q96ND8|ZN583_HUMAN	7.79e-92	Zinc finger protein 583 OS=Homo sapiens GN=ZNF583 PE=2 SV=2	tr|F6UEI4|F6UEI4_MONDO	1.31e-94	Uncharacterized protein OS=Monodelphis domestica GN=LOC100619395 PE=4 SV=2	ref|XP_020608252.1|	1.71e-99	zinc finger protein 501-like [Orbicella faveolata]	GO:0005634; GO:0003677; GO:0046872; GO:0006355; GO:0006351	GO:0005622; GO:0003700; GO:0046872; GO:0003676; GO:0006355
evm.model.Ap11.1628	NA	NA	NA	tr|A0A2B4RU71|A0A2B4RU71_STYPI	0	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene14829 PE=4 SV=1	ref|XP_020626188.1|	0	uncharacterized protein LOC110063531 [Orbicella faveolata]	NA	GO:0016021
evm.model.Ap11.1629	sp|P37108|SRP14_HUMAN	6.4e-36	Signal recognition particle 14 kDa protein OS=Homo sapiens GN=SRP14 PE=1 SV=2	tr|A0A2B4RWU3|A0A2B4RWU3_STYPI	1.21e-67	Signal recognition particle 14 kDa protein OS=Stylophora pistillata GN=SRP14 PE=4 SV=1	ref|XP_020626181.1|	4.13e-71	signal recognition particle 14 kDa protein-like [Orbicella faveolata]	GO:0005737; GO:0005829; GO:0070062; GO:0005576; GO:1904813; GO:0005634; GO:0034774; GO:0005786; GO:0008312; GO:0030942; GO:0003723; GO:0006613; GO:0043312; GO:0045047; GO:0042493; GO:0006614	GO:0005786; GO:0008312; GO:0030942; GO:0006614
evm.model.Ap11.1620	sp|Q2VL82|MSX1_SAGOE	5.08e-21	Homeobox protein MSX-1 (Fragment) OS=Saguinus oedipus GN=MSX1 PE=3 SV=1	tr|A0A2B4RWT4|A0A2B4RWT4_STYPI	6.69e-84	Homeobox protein MSX-1 OS=Stylophora pistillata GN=Msx1 PE=4 SV=1	ref|XP_020626088.1|	1.3e-103	homeobox protein MSH-B-like [Orbicella faveolata]	GO:0005634; GO:0043565; GO:0007275; GO:0006355; GO:0006351	GO:0005634; GO:0043565; GO:0006355
evm.model.Ap11.1621	sp|P13297|MSX1_MOUSE	6.01e-18	Homeobox protein MSX-1 OS=Mus musculus GN=Msx1 PE=1 SV=4	tr|A0A2B4RU62|A0A2B4RU62_STYPI	1.23e-83	Homeobox protein MSX-2 OS=Stylophora pistillata GN=Msx2 PE=4 SV=1	ref|XP_020626110.1|	1.07e-126	homeobox protein MSX-1-like [Orbicella faveolata]	GO:0005654; GO:0005634; GO:0003677; GO:0035326; GO:0002039; GO:0000977; GO:0043565; GO:0000982; GO:0001228; GO:0001227; GO:0090427; GO:0009952; GO:0030509; GO:0061312; GO:0060349; GO:0060536; GO:0000902; GO:0071316; GO:0042733; GO:0035115; GO:0035116; GO:0030326; GO:0035880; GO:0001837; GO:0003198; GO:0060325; GO:0030900; GO:0007507; GO:0003007; GO:0001701; GO:0061180; GO:0010463; GO:0030901; GO:0042474; GO:0007517; GO:0043066; GO:0030308; GO:0008285; GO:0043392; GO:0051154; GO:0000122; GO:2000678; GO:0045892; GO:0042476; GO:0042475; GO:0060021; GO:0021983; GO:0030513; GO:1902255; GO:2001055; GO:0045944; GO:0034504; GO:0050821; GO:0042481; GO:0023019; GO:0048863	GO:0005634; GO:0043565; GO:0006355
evm.model.Ap11.738	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
evm.model.Ap11.739	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
evm.model.Ap11.732	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
evm.model.Ap11.730	NA	NA	NA	tr|A0A2B4SCA4|A0A2B4SCA4_STYPI	8.44e-74	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene8308 PE=4 SV=1	gb|PFX27006.1|	1.31e-73	hypothetical protein AWC38_SpisGene8308 [Stylophora pistillata]	NA	
evm.model.Ap11.731	sp|Q11011|PSA_MOUSE	0	Puromycin-sensitive aminopeptidase OS=Mus musculus GN=Npepps PE=1 SV=2	tr|A0A2B4S8M8|A0A2B4S8M8_STYPI	0	Puromycin-sensitive aminopeptidase OS=Stylophora pistillata GN=Npepps PE=4 SV=1	ref|XP_022788315.1|	0	puromycin-sensitive aminopeptidase-like [Stylophora pistillata]	GO:0005737; GO:0005829; GO:0005634; GO:0004177; GO:0070006; GO:0042277; GO:0008270; GO:0071456; GO:0043171; GO:1903955; GO:0006508	GO:0004177; GO:0008237; GO:0008270
evm.model.Ap11.736	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
evm.model.Ap11.737	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
evm.model.Ap11.735	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
evm.model.Ap11.479	NA	NA	NA	tr|A0A2B4SDK7|A0A2B4SDK7_STYPI	2.79e-147	Serine/threonine-protein kinase Nek1 OS=Stylophora pistillata GN=NEK1 PE=4 SV=1	gb|PFX27446.1|	4.32e-147	serine/threonine-protein kinase GIN4-like [Stylophora pistillata]	NA	GO:0005524; GO:0004672
evm.model.Ap11.478	sp|Q06AA3|RGN_PIG	2.1e-80	Regucalcin OS=Sus scrofa GN=RGN PE=2 SV=1	tr|A7RY47|A7RY47_NEMVE	2.69e-104	Predicted protein OS=Nematostella vectensis GN=v1g97576 PE=4 SV=1	ref|XP_022787548.1|	2.78e-137	regucalcin-like [Stylophora pistillata]	GO:0005737; GO:0005576; GO:0005509; GO:0030234; GO:0004341; GO:0008270; GO:0019853	GO:0005576; GO:0016021; GO:0005509; GO:0030234; GO:0004341; GO:0019853
evm.model.Ap11.679	sp|O46470|RGS7_BOVIN	0	Regulator of G-protein signaling 7 OS=Bos taurus GN=RGS7 PE=1 SV=1	tr|A7SPN2|A7SPN2_NEMVE	0	Predicted protein OS=Nematostella vectensis GN=v1g230662 PE=4 SV=1	ref|XP_020631637.1|	0	regulator of G-protein signaling 7-like isoform X1 [Orbicella faveolata]	GO:0005737; GO:0005829; GO:0005834; GO:0005886; GO:0031681; GO:0005096; GO:0004871; GO:0007186; GO:0035556; GO:0009968	GO:0005737; GO:0005834; GO:0005886; GO:0005096; GO:0004871; GO:0007186; GO:0035556; GO:0008277
evm.model.Ap11.678	sp|B2RRL2|JERKL_MOUSE	1.02e-06	Jerky protein homolog-like OS=Mus musculus GN=Jrkl PE=2 SV=1	tr|A0A2B4RBE5|A0A2B4RBE5_STYPI	8.61e-42	Pogo transposable element with KRAB domain OS=Stylophora pistillata GN=Pogk PE=4 SV=1	gb|KXJ29677.1|	2.11e-46	Methylmalonic aciduria and homocystinuria type D-like, mitochondrial [Exaiptasia pallida]	GO:0005634; GO:0003677	GO:0016021; GO:0003677
evm.model.Ap11.677	NA	NA	NA	tr|A7RWM9|A7RWM9_NEMVE	6.74e-20	Predicted protein OS=Nematostella vectensis GN=v1g203259 PE=4 SV=1	gb|KXJ29715.1|	1.84e-26	hypothetical protein AC249_AIPGENE20838 [Exaiptasia pallida]	NA	
evm.model.Ap11.676	sp|O43290|SNUT1_HUMAN	2.09e-145	U4/U6.U5 tri-snRNP-associated protein 1 OS=Homo sapiens GN=SART1 PE=1 SV=1	tr|A0A060W8C2|A0A060W8C2_ONCMY	7.49e-166	Uncharacterized protein OS=Oncorhynchus mykiss GN=GSONMT00069392001 PE=4 SV=1	ref|XP_020631692.1|	0	U4/U6.U5 tri-snRNP-associated protein 1-like [Orbicella faveolata]	GO:0015030; GO:0071013; GO:0005737; GO:0005829; GO:0005794; GO:0016607; GO:0005654; GO:0046540; GO:0003723; GO:0007050; GO:0097193; GO:0000481; GO:0045292; GO:0000398; GO:0045585; GO:0000387	GO:0000398
evm.model.Ap11.675	sp|Q9U489|LIN41_CAEEL	2.75e-40	Protein lin-41 OS=Caenorhabditis elegans GN=lin-41 PE=1 SV=1	tr|A0A2B4RQD5|A0A2B4RQD5_STYPI	0	Tripartite motif-containing protein 3 OS=Stylophora pistillata GN=TRIM3 PE=4 SV=1	ref|XP_020603743.1|	0	E3 ubiquitin-protein ligase TRIM71-like [Orbicella faveolata]	GO:0005737; GO:1990124; GO:0000932; GO:0035198; GO:0003723; GO:0030371; GO:0004842; GO:0008270; GO:0009957; GO:0007276; GO:0006402; GO:0044268; GO:0017148; GO:0045138; GO:0090727; GO:0010628; GO:0060282; GO:0042787; GO:0040034; GO:0045604	GO:0005622; GO:0008270
evm.model.Ap11.674	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
evm.model.Ap11.673	NA	NA	NA	NA	NA	NA	ref|XP_020602945.1|	5.84e-14	adenosine receptor A2a-like [Orbicella faveolata]	NA	NA
evm.model.Ap11.672	sp|Q4KWL2|ADRB2_TSCTR	3.7e-13	Beta-2 adrenergic receptor OS=Tscherskia triton GN=ADRB2 PE=2 SV=1	tr|A7RFU8|A7RFU8_NEMVE	5.09e-20	Predicted protein OS=Nematostella vectensis GN=v1g196573 PE=3 SV=1	ref|XP_020602945.1|	1.07e-153	adenosine receptor A2a-like [Orbicella faveolata]	GO:0005769; GO:0016021; GO:0005886; GO:0004941; GO:0007189; GO:1901098; GO:1904504; GO:0097746; GO:0006940	GO:0016021; GO:0004930
evm.model.Ap11.671	NA	NA	NA	NA	NA	NA	ref|XP_020625643.1|	4.11e-17	uncharacterized protein LOC110063031 [Orbicella faveolata]	NA	NA
evm.model.Ap11.670	sp|P14381|YTX2_XENLA	4.46e-27	Transposon TX1 uncharacterized 149 kDa protein OS=Xenopus laevis PE=4 SV=1	tr|A0A2B4SW01|A0A2B4SW01_STYPI	5.68e-53	LINE-1 reverse transcriptase-like OS=Stylophora pistillata GN=AWC38_SpisGene2416 PE=4 SV=1	gb|KXJ10260.1|	1.74e-89	Transposon TX1 uncharacterized 149 kDa protein, partial [Exaiptasia pallida]		GO:0003964
evm.model.Ap11.1235	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
evm.model.Ap11.1232	sp|B3EWZ3|CADN_ACRMI	6.12e-99	Coadhesin (Fragment) OS=Acropora millepora PE=1 SV=1	tr|A0A2B4S1V9|A0A2B4S1V9_STYPI	0	Hemicentin-1 OS=Stylophora pistillata GN=HMCN1 PE=4 SV=1	ref|XP_020602925.1|	0	uncharacterized protein LOC110041943 [Orbicella faveolata]	GO:0016021	GO:0016021; GO:0004970
evm.model.Ap11.1820_evm.model.Ap11.1818.2.5f168b98	sp|Q6PDD0|UD2A2_MOUSE	2.34e-88	UDP-glucuronosyltransferase 2A2 OS=Mus musculus GN=Ugt2a2 PE=2 SV=1	tr|A0A2B4RUD1|A0A2B4RUD1_STYPI	0	UDP-glucuronosyltransferase 2C1 OS=Stylophora pistillata GN=UGT2C1 PE=4 SV=1	ref|XP_020632278.1|	0	UDP-glucuronosyltransferase 1-5-like [Orbicella faveolata]	GO:0016021; GO:0043231; GO:0015020; GO:0008152	GO:0016021; GO:0016758; GO:0008152
evm.model.Ap11.1820_evm.model.Ap11.1818.1.5f168b97	sp|Q6PDD0|UD2A2_MOUSE	1.53e-87	UDP-glucuronosyltransferase 2A2 OS=Mus musculus GN=Ugt2a2 PE=2 SV=1	tr|A0A2B4RUD1|A0A2B4RUD1_STYPI	0	UDP-glucuronosyltransferase 2C1 OS=Stylophora pistillata GN=UGT2C1 PE=4 SV=1	ref|XP_020632278.1|	0	UDP-glucuronosyltransferase 1-5-like [Orbicella faveolata]	GO:0016021; GO:0043231; GO:0015020; GO:0008152	GO:0016021; GO:0016758; GO:0008152
evm.model.Ap11.1820_evm.model.Ap11.1818	sp|Q64676|CGT_MOUSE	1.16e-82	2-hydroxyacylsphingosine 1-beta-galactosyltransferase OS=Mus musculus GN=Ugt8 PE=1 SV=2	tr|A0A2B4RUD1|A0A2B4RUD1_STYPI	0	UDP-glucuronosyltransferase 2C1 OS=Stylophora pistillata GN=UGT2C1 PE=4 SV=1	ref|XP_020632278.1|	0	UDP-glucuronosyltransferase 1-5-like [Orbicella faveolata]	GO:0016021; GO:0043231; GO:0008120; GO:0015020; GO:0047263; GO:0008489; GO:0007010; GO:0006682; GO:0009247; GO:0042552; GO:0048812; GO:0030913; GO:0002175	GO:0016021; GO:0016758; GO:0008152
evm.model.Ap11.1178	NA	NA	NA	tr|A0A2B4S9L8|A0A2B4S9L8_STYPI	9.46e-164	Protein vav OS=Stylophora pistillata GN=Vav PE=4 SV=1	ref|XP_020605712.1|	1.1e-168	uncharacterized protein LOC110044497 [Orbicella faveolata]	NA	GO:0007165
evm.model.Ap11.1179	sp|Q05609|CTR1_ARATH	2.45e-13	Serine/threonine-protein kinase CTR1 OS=Arabidopsis thaliana GN=CTR1 PE=1 SV=1	tr|A0A2B4S5R0|A0A2B4S5R0_STYPI	1.71e-122	Putative serine/threonine-protein kinase OS=Stylophora pistillata GN=AWC38_SpisGene10141 PE=4 SV=1	ref|XP_020605710.1|	4.84e-148	mitogen-activated protein kinase mpk-1-like [Orbicella faveolata]	GO:0005789; GO:0005524; GO:0004674; GO:0004712; GO:0004871; GO:0071281; GO:0009873; GO:0009686; GO:0010105; GO:0046777; GO:2000069; GO:2000035; GO:0048510; GO:0009723; GO:0009750; GO:0001666; GO:0009744; GO:0010182	GO:0005524; GO:0004672
evm.model.Ap11.1176	NA	NA	NA	tr|C3YWQ8|C3YWQ8_BRAFL	5.21e-09	Uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_64352 PE=4 SV=1	ref|XP_015756602.1|	1.09e-21	PREDICTED: uncharacterized protein LOC107336055 [Acropora digitifera]	NA	
evm.model.Ap11.1177	sp|Q96AY4|TTC28_HUMAN	1.3e-40	Tetratricopeptide repeat protein 28 OS=Homo sapiens GN=TTC28 PE=1 SV=4	tr|A0A2B4SAQ7|A0A2B4SAQ7_STYPI	0	Nephrocystin-3 OS=Stylophora pistillata GN=nphp3 PE=4 SV=1	ref|XP_020621187.1|	0	uncharacterized protein LOC110058866 [Orbicella faveolata]	GO:0005737; GO:0005815; GO:0030496; GO:0000922; GO:0019900; GO:0007049; GO:0051301; GO:0007346	
evm.model.Ap11.1174	NA	NA	NA	tr|A0A2B4S6D6|A0A2B4S6D6_STYPI	1.69e-53	Nephrocystin-3 OS=Stylophora pistillata GN=NPHP3 PE=4 SV=1	ref|XP_022792247.1|	1.63e-53	uncharacterized protein LOC111331406 [Stylophora pistillata]	NA	GO:0043531
evm.model.Ap11.1175	sp|Q9VXE5|PAKM_DROME	1.23e-21	Serine/threonine-protein kinase PAK mbt OS=Drosophila melanogaster GN=mbt PE=1 SV=2	tr|A0A2B4S8U4|A0A2B4S8U4_STYPI	1.43e-41	Serine/threonine-protein kinase PAK mbt OS=Stylophora pistillata GN=mbt PE=4 SV=1	ref|XP_020605730.1|	9.78e-44	serine/threonine-protein kinase PAK 5-like [Orbicella faveolata]	GO:0005912; GO:0005913; GO:0005737; GO:0005886; GO:0005524; GO:0004672; GO:0004674; GO:0048365; GO:0017048; GO:0004702; GO:0030036; GO:0000187; GO:0016477; GO:0048749; GO:0001751; GO:0007010; GO:0007030; GO:0016319; GO:0045792; GO:0018105; GO:0045315; GO:0006468; GO:0042981; GO:2000047; GO:0007346; GO:0007266; GO:0031098	GO:0005524; GO:0004672
evm.model.Ap11.1172	sp|Q7Z494|NPHP3_HUMAN	5.21e-25	Nephrocystin-3 OS=Homo sapiens GN=NPHP3 PE=1 SV=1	tr|A0A2B4S9S7|A0A2B4S9S7_STYPI	0	Nephrocystin-3 OS=Stylophora pistillata GN=nphp3 PE=4 SV=1	ref|XP_020621187.1|	0	uncharacterized protein LOC110058866 [Orbicella faveolata]	GO:0097546; GO:0097543; GO:0005929; GO:0005829; GO:0003283; GO:0060271; GO:0060027; GO:0071908; GO:0007368; GO:0071910; GO:0035469; GO:0071909; GO:0060287; GO:0007163; GO:0030198; GO:0001947; GO:0001822; GO:0060993; GO:0006629; GO:0030324; GO:0048496; GO:0090090; GO:1905515; GO:0045494; GO:0030814; GO:2000167; GO:2000095; GO:0072189; GO:0016055	GO:0043531
