"gene","GO_Description"
"evm.TU.Ap11.19","Zinc finger protein 583 OS=Homo sapiens GN=ZNF583 PE=2 SV=2"
"evm.TU.Ap11.1628",NA
"evm.TU.Ap11.1629","Signal recognition particle 14 kDa protein OS=Homo sapiens GN=SRP14 PE=1 SV=2"
"evm.TU.Ap11.1620","Homeobox protein MSX-1 (Fragment) OS=Saguinus oedipus GN=MSX1 PE=3 SV=1"
"evm.TU.Ap11.1621","Homeobox protein MSX-1 OS=Mus musculus GN=Msx1 PE=1 SV=4"
"evm.TU.Ap11.738",NA
"evm.TU.Ap11.739",NA
"evm.TU.Ap11.732",NA
"evm.TU.Ap11.730",NA
"evm.TU.Ap11.731","Puromycin-sensitive aminopeptidase OS=Mus musculus GN=Npepps PE=1 SV=2"
"evm.TU.Ap11.736",NA
"evm.TU.Ap11.737",NA
"evm.TU.Ap11.735",NA
"evm.TU.Ap11.479",NA
"evm.TU.Ap11.478","Regucalcin OS=Sus scrofa GN=RGN PE=2 SV=1"
"evm.TU.Ap11.679","Regulator of G-protein signaling 7 OS=Bos taurus GN=RGS7 PE=1 SV=1"
"evm.TU.Ap11.678","Jerky protein homolog-like OS=Mus musculus GN=Jrkl PE=2 SV=1"
"evm.TU.Ap11.677",NA
"evm.TU.Ap11.676","U4/U6.U5 tri-snRNP-associated protein 1 OS=Homo sapiens GN=SART1 PE=1 SV=1"
"evm.TU.Ap11.675","Protein lin-41 OS=Caenorhabditis elegans GN=lin-41 PE=1 SV=1"
"evm.TU.Ap11.674",NA
"evm.TU.Ap11.673",NA
"evm.TU.Ap11.672","Beta-2 adrenergic receptor OS=Tscherskia triton GN=ADRB2 PE=2 SV=1"
"evm.TU.Ap11.671",NA
"evm.TU.Ap11.670","Transposon TX1 uncharacterized 149 kDa protein OS=Xenopus laevis PE=4 SV=1"
"evm.TU.Ap11.1235",NA
"evm.TU.Ap11.1232","Coadhesin (Fragment) OS=Acropora millepora PE=1 SV=1"
"evm.TU.Ap11.1820_evm.TU.Ap11.1818.2.5f168b98","UDP-glucuronosyltransferase 2A2 OS=Mus musculus GN=Ugt2a2 PE=2 SV=1"
"evm.TU.Ap11.1820_evm.TU.Ap11.1818.1.5f168b97","UDP-glucuronosyltransferase 2A2 OS=Mus musculus GN=Ugt2a2 PE=2 SV=1"
"evm.TU.Ap11.1820_evm.TU.Ap11.1818","2-hydroxyacylsphingosine 1-beta-galactosyltransferase OS=Mus musculus GN=Ugt8 PE=1 SV=2"
"evm.TU.Ap11.1178",NA
"evm.TU.Ap11.1179","Serine/threonine-protein kinase CTR1 OS=Arabidopsis thaliana GN=CTR1 PE=1 SV=1"
"evm.TU.Ap11.1176",NA
"evm.TU.Ap11.1177","Tetratricopeptide repeat protein 28 OS=Homo sapiens GN=TTC28 PE=1 SV=4"
"evm.TU.Ap11.1174",NA
"evm.TU.Ap11.1175","Serine/threonine-protein kinase PAK mbt OS=Drosophila melanogaster GN=mbt PE=1 SV=2"
"evm.TU.Ap11.1172","Nephrocystin-3 OS=Homo sapiens GN=NPHP3 PE=1 SV=1"
"evm.TU.Ap11.1173","Nephrocystin-3 OS=Homo sapiens GN=NPHP3 PE=1 SV=1"
"evm.TU.Ap11.1170",NA
"evm.TU.Ap11.1171",NA
"evm.TU.Ap11.888","Uncharacterized protein KIAA2012 homolog OS=Bos taurus GN=KIAA2012 PE=2 SV=2"
"evm.TU.Ap11.889",NA
"evm.TU.Ap11.884","Cyclin-dependent kinase 14 OS=Oryctolagus cuniculus GN=CDK14 PE=3 SV=1"
"evm.TU.Ap11.885",NA
"evm.TU.Ap11.886","Frizzled-1 OS=Xenopus laevis GN=fzd1 PE=2 SV=1"
"evm.TU.Ap11.887","Acyl-CoA dehydrogenase family member 11 OS=Rattus norvegicus GN=Acad11 PE=1 SV=1"
"evm.TU.Ap11.880",NA
"evm.TU.Ap11.881","Transposon TX1 uncharacterized 149 kDa protein OS=Xenopus laevis PE=4 SV=1"
"evm.TU.Ap11.882","LINE-1 reverse transcriptase homolog OS=Nycticebus coucang PE=3 SV=1"
"evm.TU.Ap11.883","Cyclin-dependent kinase 14 OS=Xenopus tropicalis GN=cdk14 PE=2 SV=1"
"evm.TU.Ap11.364","Fibrinogen C domain-containing protein 1 OS=Xenopus tropicalis GN=fibcd1 PE=2 SV=1"
"evm.TU.Ap11.361","Transmembrane protein 163 OS=Bos taurus GN=TMEM163 PE=2 SV=1"
"evm.TU.Ap11.360","Glycerol-3-phosphate dehydrogenase, mitochondrial OS=Bos taurus GN=GPD2 PE=2 SV=1"
"evm.TU.Ap11.363","TNF receptor-associated factor 5 OS=Mus musculus GN=Traf5 PE=1 SV=1"
"evm.TU.Ap11.362",NA
"evm.TU.Ap11.1370","Kelch-like protein 2 OS=Homo sapiens GN=KLHL2 PE=1 SV=2"
"evm.TU.Ap11.1371","Tripartite motif-containing protein 45 OS=Bos taurus GN=TRIM45 PE=2 SV=1"
"evm.TU.Ap11.1372","Transposon Ty3-I Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TY3B-I PE=3 SV=2"
"evm.TU.Ap11.1373",NA
"evm.TU.Ap11.1374","Gag-Pol polyprotein OS=Rous sarcoma virus (strain Prague C) GN=gag-pol PE=1 SV=2"
"evm.TU.Ap11.1375","RING finger protein nhl-1 OS=Caenorhabditis elegans GN=nhl-1 PE=1 SV=2"
"evm.TU.Ap11.1376","Tripartite motif-containing protein 45 OS=Bos taurus GN=TRIM45 PE=2 SV=1"
"evm.TU.Ap11.1377","Tripartite motif-containing protein 45 OS=Bos taurus GN=TRIM45 PE=2 SV=1"
"evm.TU.Ap11.1378","Uncharacterized protein K02A2.6 OS=Caenorhabditis elegans GN=K02A2.6 PE=4 SV=1"
"evm.TU.Ap11.1379","Tripartite motif-containing protein 2 OS=Mus musculus GN=Trim2 PE=1 SV=1"
"evm.TU.Ap11.763","B-cell CLL/lymphoma 6 member B protein OS=Homo sapiens GN=BCL6B PE=2 SV=2"
"evm.TU.Ap11.98",NA
"evm.TU.Ap11.99",NA
"evm.TU.Ap11.358","Neurabin-1 OS=Rattus norvegicus GN=Ppp1r9a PE=1 SV=1"
"evm.TU.Ap11.359","Transmembrane protein 163 OS=Mus musculus GN=Tmem163 PE=1 SV=1"
"evm.TU.Ap11.350","D-inositol 3-phosphate glycosyltransferase OS=Corynebacterium aurimucosum (strain ATCC 700975 / DSM 44827 / CN-1) GN=mshA PE=3 SV=1"
"evm.TU.Ap11.351","Polyubiquitin-B OS=Homo sapiens GN=UBB PE=1 SV=1"
"evm.TU.Ap11.352",NA
"evm.TU.Ap11.353",NA
"evm.TU.Ap11.354",NA
"evm.TU.Ap11.355","D-inositol 3-phosphate glycosyltransferase OS=Paenarthrobacter aurescens (strain TC1) GN=mshA PE=3 SV=1"
"evm.TU.Ap11.356",NA
"evm.TU.Ap11.357","Cysteine/serine-rich nuclear protein 2 OS=Mus musculus GN=Csrnp2 PE=2 SV=1"
"evm.TU.Ap11.242","Neuronal PAS domain-containing protein 3 OS=Homo sapiens GN=NPAS3 PE=2 SV=1"
"evm.TU.Ap11.243","Inhibitor of growth protein 1 OS=Mus musculus GN=Ing1 PE=2 SV=1"
"evm.TU.Ap11.367","Lactadherin OS=Bos taurus GN=MFGE8 PE=1 SV=2"
"evm.TU.Ap11.366","Probable RNA-directed DNA polymerase from transposon X-element OS=Drosophila melanogaster GN=X-element\ORF2 PE=3 SV=1"
"evm.TU.Ap11.969","Transposon TX1 uncharacterized 149 kDa protein OS=Xenopus laevis PE=4 SV=1"
"evm.TU.Ap11.968",NA
"evm.TU.Ap11.967","AP-2 complex subunit sigma OS=Homo sapiens GN=AP2S1 PE=1 SV=2"
"evm.TU.Ap11.966","Fumarylacetoacetase OS=Homo sapiens GN=FAH PE=1 SV=2"
"evm.TU.Ap11.965","TGF-beta receptor type-1 OS=Rattus norvegicus GN=Tgfbr1 PE=1 SV=1"
"evm.TU.Ap11.964",NA
"evm.TU.Ap11.963","Tyrosine-protein phosphatase non-receptor type 14 OS=Homo sapiens GN=PTPN14 PE=1 SV=2"
"evm.TU.Ap11.962","TNF receptor-associated factor 3 OS=Mus musculus GN=Traf3 PE=1 SV=2"
"evm.TU.Ap11.961.1.5f15dcbb","H2.0-like homeobox protein OS=Bos taurus GN=HLX PE=2 SV=1"
"evm.TU.Ap11.961","H2.0-like homeobox protein OS=Bos taurus GN=HLX PE=2 SV=1"
"evm.TU.Ap11.960",NA
"evm.TU.Ap11.1657",NA
"evm.TU.Ap11.1656","Cyclin-Y-like protein 1 OS=Xenopus tropicalis GN=ccnyl1 PE=2 SV=1"
"evm.TU.Ap11.1655","Tetratricopeptide repeat protein 25 OS=Danio rerio GN=ttc25 PE=2 SV=1"
"evm.TU.Ap11.1654","Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase OS=Rattus norvegicus GN=Mgat1 PE=2 SV=1"
"evm.TU.Ap11.1653","Hydroxysteroid 11-beta-dehydrogenase 1-like protein OS=Xenopus tropicalis GN=hsd11b1l PE=2 SV=1"
"evm.TU.Ap11.1652","Toxin CaTX-A OS=Carybdea alata PE=1 SV=1"
"evm.TU.Ap11.1651","Hydroxysteroid 11-beta-dehydrogenase 1-like protein OS=Xenopus tropicalis GN=hsd11b1l PE=2 SV=1"
"evm.TU.Ap11.1650","Bis(5'-adenosyl)-triphosphatase enpp4 OS=Xenopus tropicalis GN=enpp4 PE=2 SV=1"
"evm.TU.Ap11.1659",NA
"evm.TU.Ap11.1658","Alpha-1A adrenergic receptor OS=Oryzias latipes GN=adra1a PE=3 SV=1"
"evm.TU.Ap11.1825",NA
"evm.TU.Ap11.193",NA
"evm.TU.Ap11.195",NA
"evm.TU.Ap11.1787_evm.TU.Ap11.1788","Adhesion G-protein coupled receptor D1 OS=Homo sapiens GN=ADGRD1 PE=1 SV=1"
"evm.TU.Ap11.1238",NA
"evm.TU.Ap11.659_evm.TU.Ap11.661","Myosin-M heavy chain OS=Dictyostelium discoideum GN=myoM PE=1 SV=1"
"evm.TU.Ap11.659_evm.TU.Ap11.661.1.5f16869b","Chromosomal serine/threonine-protein kinase JIL-1 OS=Drosophila melanogaster GN=JIL-1 PE=1 SV=1"
"evm.TU.Ap11.1855","Small glutamine-rich tetratricopeptide repeat-containing protein alpha OS=Mus musculus GN=Sgta PE=1 SV=2"
"evm.TU.Ap11.1857","Carbohydrate sulfotransferase 2 OS=Mus musculus GN=Chst2 PE=2 SV=3"
"evm.TU.Ap11.1856","Armadillo repeat-containing protein 4 OS=Mus musculus GN=Armc4 PE=1 SV=1"
"evm.TU.Ap11.1851",NA
"evm.TU.Ap11.1850","Zinc finger protein 845 OS=Homo sapiens GN=ZNF845 PE=1 SV=3"
"evm.TU.Ap11.1853","F-box only protein 10 OS=Mus musculus GN=Fbxo10 PE=1 SV=2"
"evm.TU.Ap11.1859","Homeobox protein otx5 OS=Xenopus tropicalis GN=otx5 PE=2 SV=1"
"evm.TU.Ap11.1529",NA
"evm.TU.Ap11.1528",NA
"evm.TU.Ap11.1521","Collagen alpha-1(IV) chain OS=Caenorhabditis elegans GN=emb-9 PE=1 SV=5"
"evm.TU.Ap11.1520","Equilibrative nucleoside transporter 3 OS=Bos taurus GN=SLC29A3 PE=2 SV=1"
"evm.TU.Ap11.1523","RNA-binding protein squid OS=Drosophila melanogaster GN=sqd PE=1 SV=3"
"evm.TU.Ap11.1522","Alpha-xylosidase OS=Sulfolobus solfataricus (strain ATCC 35092 / DSM 1617 / JCM 11322 / P2) GN=xylS PE=1 SV=1"
"evm.TU.Ap11.1525","Alpha-glucosidase 2 OS=Bacillus thermoamyloliquefaciens PE=3 SV=1"
"evm.TU.Ap11.1524","Mirror-image polydactyly gene 1 protein OS=Homo sapiens GN=MIPOL1 PE=1 SV=1"
"evm.TU.Ap11.1527","Alpha-glucosidase 2 OS=Bacillus thermoamyloliquefaciens PE=3 SV=1"
"evm.TU.Ap11.1526","Alpha-glucosidase 2 OS=Bacillus thermoamyloliquefaciens PE=3 SV=1"
"evm.TU.Ap11.789","LINE-1 retrotransposable element ORF2 protein OS=Homo sapiens PE=1 SV=1"
"evm.TU.Ap11.788",NA
"evm.TU.Ap11.257","Anosmin-1 OS=Gallus gallus GN=ANOS1 PE=2 SV=2"
"evm.TU.Ap11.256",NA
"evm.TU.Ap11.259","E3 ubiquitin-protein ligase TRIM71 OS=Danio rerio GN=trim71 PE=2 SV=1"
"evm.TU.Ap11.258","WAP four-disulfide core domain protein 18 OS=Mus musculus GN=Wfdc18 PE=3 SV=1"
"evm.TU.Ap11.840","Pentatricopeptide repeat-containing protein At3g62470, mitochondrial OS=Arabidopsis thaliana GN=At3g62470 PE=2 SV=1"
"evm.TU.Ap11.841",NA
"evm.TU.Ap11.842",NA
"evm.TU.Ap11.843",NA
"evm.TU.Ap11.844","Beta-2 adrenergic receptor OS=Oncorhynchus mykiss GN=adrb2 PE=2 SV=1"
"evm.TU.Ap11.845","Neuronal pentraxin receptor OS=Homo sapiens GN=NPTXR PE=3 SV=2"
"evm.TU.Ap11.847","MAM and LDL-receptor class A domain-containing protein 1 (Fragment) OS=Acropora millepora PE=1 SV=1"
"evm.TU.Ap11.1759","Cytochrome P450 27C1 OS=Lithobates catesbeiana GN=cyp27c1 PE=1 SV=1"
"evm.TU.Ap11.159_evm.TU.Ap11.139_evm.TU.Ap11.140_evm.TU.Ap11.148","Polyubiquitin-C OS=Gorilla gorilla gorilla GN=UBC PE=3 SV=1"
"evm.TU.Ap11.159_evm.TU.Ap11.139_evm.TU.Ap11.140_evm.TU.Ap11.148.2.5f1685b5","Ras-related protein RABD1 OS=Arabidopsis thaliana GN=RABD1 PE=1 SV=1"
"evm.TU.Ap11.159_evm.TU.Ap11.139_evm.TU.Ap11.140_evm.TU.Ap11.148.1.5f1685b5","GTP-binding protein Rab-3D OS=Rattus norvegicus GN=Rab3d PE=1 SV=2"
"evm.TU.Ap11.1284","Alpha-1A adrenergic receptor OS=Mus musculus GN=Adra1a PE=1 SV=3"
"evm.TU.Ap11.1285","Endoplasmic reticulum lectin 1 OS=Mus musculus GN=Erlec1 PE=1 SV=1"
"evm.TU.Ap11.1286","von Willebrand factor A domain-containing protein 7 OS=Homo sapiens GN=VWA7 PE=2 SV=4"
"evm.TU.Ap11.1287","REST corepressor 3 OS=Homo sapiens GN=RCOR3 PE=1 SV=2"
"evm.TU.Ap11.1280",NA
"evm.TU.Ap11.1281","Transposon Ty3-I Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TY3B-I PE=3 SV=2"
"evm.TU.Ap11.1282",NA
"evm.TU.Ap11.1283","Adenosine receptor A2b OS=Gallus gallus GN=ADORA2B PE=2 SV=1"
"evm.TU.Ap11.1288","D-aminoacyl-tRNA deacylase 1 OS=Bos taurus GN=DTD1 PE=2 SV=1"
"evm.TU.Ap11.1289","Histidine N-acetyltransferase OS=Scomber australasicus GN=hisat PE=1 SV=1"
"evm.TU.Ap11.1756","DnaJ homolog subfamily C member 4 OS=Mus musculus GN=Dnajc4 PE=2 SV=2"
"evm.TU.Ap11.1757","Transmembrane protein 87B OS=Mus musculus GN=Tmem87b PE=2 SV=1"
"evm.TU.Ap11.1754","Transcription factor VBP OS=Gallus gallus GN=TEF PE=1 SV=2"
"evm.TU.Ap11.1755","SPARC-related modular calcium-binding protein 2 OS=Mus musculus GN=Smoc2 PE=1 SV=1"
"evm.TU.Ap11.1",NA
"evm.TU.Ap11.1896_evm.TU.Ap11.1897.3.5f168c0b","UPF0676 protein C1494.01 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=SPCC1494.01 PE=3 SV=2"
"evm.TU.Ap11.1896_evm.TU.Ap11.1897","UPF0676 protein C1494.01 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=SPCC1494.01 PE=3 SV=2"
"evm.TU.Ap11.1896_evm.TU.Ap11.1897.2.5f168c0b","UPF0676 protein C1494.01 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=SPCC1494.01 PE=3 SV=2"
"evm.TU.Ap11.1896_evm.TU.Ap11.1897.1.5f168c0a","UPF0676 protein C1494.01 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=SPCC1494.01 PE=3 SV=2"
"evm.TU.Ap11.1668","E3 ubiquitin-protein ligase TRIM56 OS=Mus musculus GN=Trim56 PE=1 SV=1"
"evm.TU.Ap11.1669","B-box type zinc finger protein ncl-1 OS=Caenorhabditis elegans GN=ncl-1 PE=2 SV=1"
"evm.TU.Ap11.1662",NA
"evm.TU.Ap11.1663",NA
"evm.TU.Ap11.1660","RYamide receptor OS=Drosophila melanogaster GN=RYa-R PE=2 SV=2"
"evm.TU.Ap11.1661",NA
"evm.TU.Ap11.549",NA
"evm.TU.Ap11.548",NA
"evm.TU.Ap11.471","Beta-2 adrenergic receptor OS=Sus scrofa GN=ADRB2 PE=2 SV=2"
"evm.TU.Ap11.470",NA
"evm.TU.Ap11.473",NA
"evm.TU.Ap11.472","Beta-2 adrenergic receptor OS=Sus scrofa GN=ADRB2 PE=2 SV=2"
"evm.TU.Ap11.475",NA
"evm.TU.Ap11.474","Beta-1,4-N-acetylgalactosaminyltransferase bre-4 OS=Caenorhabditis briggsae GN=bre-4 PE=3 SV=1"
"evm.TU.Ap11.477","Regucalcin OS=Gallus gallus GN=RGN PE=2 SV=1"
"evm.TU.Ap11.476.1.5f15dc04",NA
"evm.TU.Ap11.476",NA
"evm.TU.Ap11.766","LINE-1 reverse transcriptase homolog OS=Nycticebus coucang PE=3 SV=1"
"evm.TU.Ap11.1048","Beta-2 adrenergic receptor OS=Macaca mulatta GN=ADRB2 PE=2 SV=1"
"evm.TU.Ap11.1049",NA
"evm.TU.Ap11.1042","Prolyl endopeptidase FAP OS=Bos taurus GN=FAP PE=1 SV=1"
"evm.TU.Ap11.1043",NA
"evm.TU.Ap11.1040",NA
"evm.TU.Ap11.1041",NA
"evm.TU.Ap11.1046","Prohibitin OS=Gallus gallus GN=PHB PE=1 SV=1"
"evm.TU.Ap11.1047",NA
"evm.TU.Ap11.1044",NA
"evm.TU.Ap11.1045","40S ribosomal protein S26 OS=Octopus vulgaris GN=RPS26 PE=2 SV=1"
"evm.TU.Ap11.1208","Polysialic acid O-acetyltransferase OS=Escherichia coli O1:K1 / APEC GN=neuO PE=1 SV=1"
"evm.TU.Ap11.1209",NA
"evm.TU.Ap11.1204",NA
"evm.TU.Ap11.1205","Paired box protein Pax-8 OS=Xenopus laevis GN=pax8 PE=2 SV=1"
"evm.TU.Ap11.1206","Dermatopontin OS=Biomphalaria glabrata PE=1 SV=1"
"evm.TU.Ap11.1207","Gamma-glutamyl hydrolase OS=Rattus norvegicus GN=Ggh PE=1 SV=1"
"evm.TU.Ap11.1200",NA
"evm.TU.Ap11.1202",NA
"evm.TU.Ap11.1203","Gamma-glutamyl hydrolase A OS=Dictyostelium discoideum GN=gghA PE=3 SV=1"
"evm.TU.Ap11.112","Caspase-8 OS=Rattus norvegicus GN=Casp8 PE=1 SV=1"
"evm.TU.Ap11.113","Transposon TX1 uncharacterized 149 kDa protein OS=Xenopus laevis PE=4 SV=1"
"evm.TU.Ap11.110",NA
"evm.TU.Ap11.111",NA
"evm.TU.Ap11.116",NA
"evm.TU.Ap11.117",NA
"evm.TU.Ap11.114","Uncharacterized protein K02A2.6 OS=Caenorhabditis elegans GN=K02A2.6 PE=4 SV=1"
"evm.TU.Ap11.115",NA
"evm.TU.Ap11.118",NA
"evm.TU.Ap11.119",NA
"evm.TU.Ap11.1678","DnaJ homolog subfamily B member 11 OS=Rattus norvegicus GN=Dnajb11 PE=2 SV=1"
"evm.TU.Ap11.875","Solute carrier family 35 member F5 OS=Pongo abelii GN=SLC35F5 PE=2 SV=1"
"evm.TU.Ap11.874",NA
"evm.TU.Ap11.877","Frizzled-8 OS=Xenopus laevis GN=fzd8 PE=1 SV=1"
"evm.TU.Ap11.876","Stonin-2 OS=Homo sapiens GN=STON2 PE=1 SV=1"
"evm.TU.Ap11.871","Prostaglandin E2 receptor EP3 subtype OS=Mus musculus GN=Ptger3 PE=1 SV=1"
"evm.TU.Ap11.870","UPF0577 protein KIAA1324-like homolog OS=Mus musculus PE=1 SV=1"
"evm.TU.Ap11.873",NA
"evm.TU.Ap11.872","Ectonucleotide pyrophosphatase/phosphodiesterase family member 5 OS=Mus musculus GN=Enpp5 PE=1 SV=3"
"evm.TU.Ap11.879",NA
"evm.TU.Ap11.878","La-related protein 4B OS=Homo sapiens GN=LARP4B PE=1 SV=3"
"evm.TU.Ap11.1415","WD repeat and HMG-box DNA-binding protein 1 OS=Homo sapiens GN=WDHD1 PE=1 SV=1"
"evm.TU.Ap11.1417","Regulator of G-protein signaling 22 OS=Homo sapiens GN=RGS22 PE=1 SV=3"
"evm.TU.Ap11.1416","Lipopolysaccharide cholinephosphotransferase LicD OS=Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd) GN=licD PE=3 SV=2"
"evm.TU.Ap11.1413",NA
"evm.TU.Ap11.1412",NA
"evm.TU.Ap11.43","G patch domain-containing protein 2 OS=Mus musculus GN=Gpatch2 PE=1 SV=2"
"evm.TU.Ap11.42",NA
"evm.TU.Ap11.41",NA
"evm.TU.Ap11.40","Histamine H3 receptor OS=Cavia porcellus GN=HRH3 PE=2 SV=2"
"evm.TU.Ap11.47",NA
"evm.TU.Ap11.46","Zinc finger protein 782 OS=Homo sapiens GN=ZNF782 PE=2 SV=1"
"evm.TU.Ap11.45","2-hydroxy-3-oxopropionate reductase OS=Escherichia coli (strain K12) GN=garR PE=1 SV=1"
"evm.TU.Ap11.44",NA
"evm.TU.Ap11.49",NA
"evm.TU.Ap11.48","Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A OS=Homo sapiens GN=MGAT5 PE=2 SV=1"
"evm.TU.Ap11.321","Serine hydrolase-like protein OS=Danio rerio GN=serhl PE=2 SV=1"
"evm.TU.Ap11.320","Serine hydrolase-like protein OS=Danio rerio GN=serhl PE=2 SV=1"
"evm.TU.Ap11.323","Serine hydrolase-like protein OS=Danio rerio GN=serhl PE=2 SV=1"
"evm.TU.Ap11.325","Ribonuclease kappa-B OS=Ceratitis capitata PE=3 SV=1"
"evm.TU.Ap11.324","Serine hydrolase-like protein OS=Danio rerio GN=serhl PE=2 SV=1"
"evm.TU.Ap11.327","Beclin-1 OS=Danio rerio GN=becn1 PE=2 SV=3"
"evm.TU.Ap11.326","AP-4 complex subunit beta-1 OS=Mus musculus GN=Ap4b1 PE=1 SV=2"
"evm.TU.Ap11.326.1.5f15dbde","AP-4 complex subunit beta-1 OS=Mus musculus GN=Ap4b1 PE=1 SV=2"
"evm.TU.Ap11.329",NA
"evm.TU.Ap11.774","N-terminal Xaa-Pro-Lys N-methyltransferase 1-B OS=Xenopus laevis GN=ntmt1-b PE=2 SV=1"
"evm.TU.Ap11.774.1.5f15dc55","N-terminal Xaa-Pro-Lys N-methyltransferase 1-B OS=Xenopus laevis GN=ntmt1-b PE=2 SV=1"
"evm.TU.Ap11.428",NA
"evm.TU.Ap11.429","Olfactory receptor 8U8 OS=Homo sapiens GN=OR8U8 PE=3 SV=1"
"evm.TU.Ap11.1598","Inversin OS=Gallus gallus GN=INVS PE=2 SV=2"
"evm.TU.Ap11.1599","Pre-mRNA-splicing factor CWC25 homolog OS=Mus musculus GN=Cwc25 PE=2 SV=2"
"evm.TU.Ap11.1590",NA
"evm.TU.Ap11.1591",NA
"evm.TU.Ap11.1592","Kynurenine 3-monooxygenase OS=Homo sapiens GN=KMO PE=1 SV=2"
"evm.TU.Ap11.1593","Peptidase M20 domain-containing protein 2 OS=Mus musculus GN=Pm20d2 PE=1 SV=1"
"evm.TU.Ap11.1594","Low-density lipoprotein receptor-related protein 11 OS=Homo sapiens GN=LRP11 PE=2 SV=2"
"evm.TU.Ap11.1595","Coiled-coil domain-containing protein 103 OS=Xenopus tropicalis GN=ccdc103 PE=2 SV=2"
"evm.TU.Ap11.1596","Protein phosphatase 1 regulatory inhibitor subunit 16B OS=Homo sapiens GN=PPP1R16B PE=1 SV=1"
"evm.TU.Ap11.1597","Protein phosphatase 1 regulatory subunit 27 OS=Mus musculus GN=Ppp1r27 PE=2 SV=1"
"evm.TU.Ap11.1626",NA
"evm.TU.Ap11.1624","Cyclic nucleotide-gated cation channel alpha-3 OS=Mus musculus GN=Cnga3 PE=1 SV=2"
"evm.TU.Ap11.1625","WD repeat-containing protein 86 OS=Homo sapiens GN=WDR86 PE=2 SV=3"
"evm.TU.Ap11.1622",NA
"evm.TU.Ap11.1623",NA
"evm.TU.Ap11.1234","ATP-dependent DNA helicase PIF1 OS=Danio rerio GN=pif1 PE=2 SV=1"
"evm.TU.Ap11.1237","Putative zinc finger protein 66 OS=Homo sapiens GN=ZNF66 PE=5 SV=3"
"evm.TU.Ap11.1236",NA
"evm.TU.Ap11.1231",NA
"evm.TU.Ap11.1230","Palmitoyltransferase akr1 OS=Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987) GN=ptr-1 PE=3 SV=2"
"evm.TU.Ap11.1233",NA
"evm.TU.Ap11.1239","Prolyl 4-hydroxylase subunit alpha-2 OS=Homo sapiens GN=P4HA2 PE=1 SV=1"
"evm.TU.Ap11.620","RelA-associated inhibitor OS=Homo sapiens GN=PPP1R13L PE=1 SV=4"
"evm.TU.Ap11.621","Crooked neck-like protein 1 OS=Homo sapiens GN=CRNKL1 PE=1 SV=4"
"evm.TU.Ap11.622","Molybdenum cofactor biosynthesis protein 1 OS=Mus musculus GN=Mocs1 PE=1 SV=2"
