genes,log2FoldChange
evm.TU.Ap10.435,-0.482239232082725
evm.TU.Ap10.436,-0.622455692822518
evm.TU.Ap10.437,0.968323988443278
evm.TU.Ap10.438,0.171657857348659
evm.TU.Ap10.439,NA
evm.TU.Ap10.44,-0.153585904407682
evm.TU.Ap10.440,NA
evm.TU.Ap10.441,0
evm.TU.Ap10.442,0.57270297616131
evm.TU.Ap10.443,-0.517126338050113
evm.TU.Ap10.444,-0.266772893214449
evm.TU.Ap10.445,0.18680601519933
evm.TU.Ap10.446,-0.40398009024021
evm.TU.Ap10.447,-0.482992526282358
evm.TU.Ap10.448,0.0500330511072066
evm.TU.Ap10.449,1.13324550581093
evm.TU.Ap10.45,0.153935282934035
evm.TU.Ap10.450,0.352317492315945
evm.TU.Ap10.451,NA
evm.TU.Ap10.452,NA
evm.TU.Ap10.453,-0.19789037718291
evm.TU.Ap10.454,0.197971948778206
evm.TU.Ap10.455,NA
evm.TU.Ap10.456,NA
evm.TU.Ap10.457,-0.00553841378270999
evm.TU.Ap10.458,-2.3801685091257
evm.TU.Ap10.459,-0.0588820783483484
evm.TU.Ap10.46,-0.087152596361511
evm.TU.Ap10.460,0
evm.TU.Ap10.461,-0.211633025724405
evm.TU.Ap10.462,NA
evm.TU.Ap10.463,-0.211635661258169
evm.TU.Ap10.464,-0.979508945898927
evm.TU.Ap10.465,-0.492105266577181
evm.TU.Ap10.466,-0.0353431495110636
evm.TU.Ap10.467,-0.368995833336438
evm.TU.Ap10.468,1.08100813921176
evm.TU.Ap10.469,-0.341108239400814
evm.TU.Ap10.47,0.708595916803779
evm.TU.Ap10.470,-0.274985400583147
evm.TU.Ap10.471,0.390403381865336
evm.TU.Ap10.472,0
evm.TU.Ap10.473,-0.530269529398676
evm.TU.Ap10.474,-0.440321728002278
evm.TU.Ap10.475,NA
evm.TU.Ap10.476,NA
evm.TU.Ap10.477,NA
evm.TU.Ap10.478,0.632080779035521
evm.TU.Ap10.479,1.17304695911069
evm.TU.Ap10.48,-0.589720418423511
evm.TU.Ap10.480,-1.17892852681213
evm.TU.Ap10.481,-0.181305766929369
evm.TU.Ap10.482,0.382287412031991
evm.TU.Ap10.483,-0.197882168172837
evm.TU.Ap10.484,NA
evm.TU.Ap10.485,0.733941653893613
evm.TU.Ap10.486,1.14526211396045
evm.TU.Ap10.487,0.800270155972661
evm.TU.Ap10.488,3.3045920768451
evm.TU.Ap10.489,-0.869586708563923
evm.TU.Ap10.49,-0.218322104032461
evm.TU.Ap10.490,-0.0626620461772585
evm.TU.Ap10.491,0.124283234989755
evm.TU.Ap10.492,0.484123019234573
evm.TU.Ap10.493,0.156332089713559
evm.TU.Ap10.494,0.522232813734106
evm.TU.Ap10.495,0.0114596577118687
evm.TU.Ap10.496,0.705502417520123
evm.TU.Ap10.497,NA
evm.TU.Ap10.498,NA
evm.TU.Ap10.499,NA
evm.TU.Ap10.5,-0.352621638486528
evm.TU.Ap10.50,-0.288934941370552
evm.TU.Ap10.500,0.331961871420164
evm.TU.Ap10.501,-0.0304143502774692
evm.TU.Ap10.502,-1.05900072538168
evm.TU.Ap10.503,-1.07639040195228
evm.TU.Ap10.504,-1.12059546063587
evm.TU.Ap10.505,0.203589245363229
evm.TU.Ap10.506,-0.211633025724406
evm.TU.Ap10.507,0.198094721639422
evm.TU.Ap10.508,-0.211645338317208
evm.TU.Ap10.509,0
evm.TU.Ap10.51,-0.197883841949877
evm.TU.Ap10.510,0.123409002155856
evm.TU.Ap10.511,0
evm.TU.Ap10.512,-1.27619232730193
evm.TU.Ap10.513,-0.403982288754833
evm.TU.Ap10.514,-0.442638459549733
evm.TU.Ap10.515,0.643860019337959
evm.TU.Ap10.516,0.234250552382388
evm.TU.Ap10.517,-0.126738618081959
evm.TU.Ap10.518,NA
evm.TU.Ap10.519,NA
evm.TU.Ap10.52,1.01230285629208
evm.TU.Ap10.520,0.00563001516496313
evm.TU.Ap10.521,-1.01883949199306
evm.TU.Ap10.522,-0.211633025724406
evm.TU.Ap10.523,0.733665695151795
evm.TU.Ap10.524,NA
evm.TU.Ap10.525,-0.581003030768766
evm.TU.Ap10.526,NA
evm.TU.Ap10.527,-0.935329680378936
evm.TU.Ap10.528,1.44989143269712
evm.TU.Ap10.529,-0.149656324554057
evm.TU.Ap10.53,-0.693126841996493
evm.TU.Ap10.530,0.186513535216293
evm.TU.Ap10.531,0.461332814600137
evm.TU.Ap10.532,0.395802189849026
evm.TU.Ap10.533,0.534665212664064
evm.TU.Ap10.534,0
evm.TU.Ap10.535,0
evm.TU.Ap10.536,0.815899886825907
evm.TU.Ap10.537,-0.27985421763418
evm.TU.Ap10.538,-0.53869209963621
evm.TU.Ap10.539,NA
evm.TU.Ap10.54,0.873373331914172
evm.TU.Ap10.540,0.183232382320182
evm.TU.Ap10.541,0.18680601519933
evm.TU.Ap10.542,-0.19788727204379
evm.TU.Ap10.543,-0.211643162397857
evm.TU.Ap10.544,-0.403979887509407
evm.TU.Ap10.545,-0.390236117131594
evm.TU.Ap10.546,0
evm.TU.Ap10.547,-0.211627119262696
evm.TU.Ap10.548,0.735552431824617
evm.TU.Ap10.549,NA
evm.TU.Ap10.55,-0.066120717274584
evm.TU.Ap10.550,0.395926206825473
evm.TU.Ap10.551,NA
evm.TU.Ap10.552,0.186803379665566
evm.TU.Ap10.553,-1.20857551182047
evm.TU.Ap10.554,0.858984677188997
evm.TU.Ap10.555,-0.596330926171849
evm.TU.Ap10.556,-0.00554348211943575
evm.TU.Ap10.557,0.395930869696493
evm.TU.Ap10.558,0.186803379665566
evm.TU.Ap10.559,-0.21163566125817
evm.TU.Ap10.56,0.592435701965917
evm.TU.Ap10.560,0.492832861154039
evm.TU.Ap10.561,0.0351358994240616
evm.TU.Ap10.562,-0.118789056554138
evm.TU.Ap10.563,-0.00552626908474017
evm.TU.Ap10.564,-0.365927505054149
evm.TU.Ap10.565,-0.197882842764751
evm.TU.Ap10.566,0.186800744131802
evm.TU.Ap10.567,NA
evm.TU.Ap10.568,0.537499683386307
evm.TU.Ap10.569,0.425084908910697
evm.TU.Ap10.57,1.03992524059751
evm.TU.Ap10.570,-0.197883173482054
evm.TU.Ap10.571,2.27350712245931
evm.TU.Ap10.572,0.423558248776271
evm.TU.Ap10.573,0.383786695245932
evm.TU.Ap10.574,0.163054750617953
evm.TU.Ap10.575,0.974638803125133
evm.TU.Ap10.576,0.17538960733646
evm.TU.Ap10.577,NA
evm.TU.Ap10.578,0.104794401700682
evm.TU.Ap10.579,0.989165468042915
evm.TU.Ap10.58,-0.181296922145282
evm.TU.Ap10.580,0.197833823033526
evm.TU.Ap10.581,0.580986517770016
evm.TU.Ap10.582,-0.108927690182935
evm.TU.Ap10.583,-0.17222839575194
evm.TU.Ap10.584,0.292701521919956
evm.TU.Ap10.585,-0.197882133035216
evm.TU.Ap10.586,0.617489286329551
evm.TU.Ap10.587,0.395933505227939
evm.TU.Ap10.588,0.505891123487839
evm.TU.Ap10.589,0.653909694088789
evm.TU.Ap10.59,-0.00553757191755535
evm.TU.Ap10.590,NA
evm.TU.Ap10.591,0.306804738296063
evm.TU.Ap10.592,0.0100677207233011
evm.TU.Ap10.593,0.703705023646544
evm.TU.Ap10.594,0.186798514059643
evm.TU.Ap10.595,0.931399228698482
evm.TU.Ap10.596,0.293966250830514
evm.TU.Ap10.597,-0.311878979654709
evm.TU.Ap10.598,-0.424829761062812
evm.TU.Ap10.599,0.18680601519933
evm.TU.Ap10.6,NA
evm.TU.Ap10.60,-1.11168661693757
evm.TU.Ap10.600,1.29608829185111
evm.TU.Ap10.601,0.986467566508935
evm.TU.Ap10.602,-0.134593262378889
evm.TU.Ap10.603,-0.784210451582824
evm.TU.Ap10.604,-0.953367183273606
evm.TU.Ap10.605,0.198093719478381
evm.TU.Ap10.606,-0.730846117510578
evm.TU.Ap10.607,0.250541421515815
evm.TU.Ap10.608,NA
evm.TU.Ap10.609,-0.13657338829583
evm.TU.Ap10.61,0.606145436797277
evm.TU.Ap10.610,-0.381477615007432
evm.TU.Ap10.611,-0.0468975735339556
evm.TU.Ap10.612,0.300530109934147
evm.TU.Ap10.613,-0.350770478732572
evm.TU.Ap10.614,-0.826528234676989
evm.TU.Ap10.615,-0.995700147617521
evm.TU.Ap10.616,-0.0326130514689416
evm.TU.Ap10.617,0.322318348463374
evm.TU.Ap10.618,-0.557401818614576
evm.TU.Ap10.619,0.740711411350641
evm.TU.Ap10.62,0.0939840298675761
evm.TU.Ap10.620,0.46781056972549
evm.TU.Ap10.621,0.540224249748051
evm.TU.Ap10.622,-0.413055260239071
evm.TU.Ap10.623,0
evm.TU.Ap10.624,-0.955126142396535
evm.TU.Ap10.625,-0.212898550269163
evm.TU.Ap10.626,-0.912279167233735
evm.TU.Ap10.627,0.312974289340272
evm.TU.Ap10.628,-0.197881789272259
evm.TU.Ap10.629,0
evm.TU.Ap10.63,-0.549818240550176
evm.TU.Ap10.630,0
evm.TU.Ap10.631,-0.403984025782338
evm.TU.Ap10.632,0
evm.TU.Ap10.633,-0.150612995048681
evm.TU.Ap10.634,-0.46460516104614
evm.TU.Ap10.635,-0.60490309394048
evm.TU.Ap10.636,0.712943155017976
evm.TU.Ap10.637,0.355358678160651
evm.TU.Ap10.638,0.618723416641902
evm.TU.Ap10.639,1.34601591746543
evm.TU.Ap10.64,-1.3536479505257
evm.TU.Ap10.640,0.366578980967011
evm.TU.Ap10.641,0.0738228101959182
evm.TU.Ap10.642,0.344605933990941
evm.TU.Ap10.643,0.21149261335978
evm.TU.Ap10.644,0.901158822962916
evm.TU.Ap10.645,0.918715598716788
evm.TU.Ap10.646,0.395927713715706
evm.TU.Ap10.647,0
evm.TU.Ap10.648,0.530184423041679
evm.TU.Ap10.649,0.00657377691673455
evm.TU.Ap10.65,NA
evm.TU.Ap10.650,0.406431680515483
evm.TU.Ap10.651,1.04872613779502
evm.TU.Ap10.652,NA
evm.TU.Ap10.653,0.691885275787805
evm.TU.Ap10.654,0.366274496034325
evm.TU.Ap10.655,0.038706319492284
evm.TU.Ap10.656,0.394135661938776
evm.TU.Ap10.657,0.434409449457383
evm.TU.Ap10.658,-0.426843909354027
evm.TU.Ap10.659,0.551085141343305
evm.TU.Ap10.66,-0.376222832733786
evm.TU.Ap10.660,NA
evm.TU.Ap10.661,0.265656573028292
evm.TU.Ap10.662,-1.3188691361553
evm.TU.Ap10.663,-0.565925459725434
evm.TU.Ap10.664,0
evm.TU.Ap10.665,-0.384020581145628
evm.TU.Ap10.666,0.198259705496712
evm.TU.Ap10.667,0.309667024495584
evm.TU.Ap10.668,0.00115470897781405
evm.TU.Ap10.669,0.496267334318546
evm.TU.Ap10.67,0.259819144696009
evm.TU.Ap10.670,-0.0644927564038271
evm.TU.Ap10.671,0.81250044977088
evm.TU.Ap10.672,-0.214038471276742
evm.TU.Ap10.673,1.61974835308345
evm.TU.Ap10.674,1.59086230377211
evm.TU.Ap10.675,0.20926358632646
evm.TU.Ap10.676,-0.217936393006169
evm.TU.Ap10.677,-0.00554875318696376
evm.TU.Ap10.678,-0.538753464839202
evm.TU.Ap10.679,0
evm.TU.Ap10.68,-0.0636800189478503
evm.TU.Ap10.680,-0.181740674402641
evm.TU.Ap10.681,-0.0391223045221135
evm.TU.Ap10.682,-0.155751590539088
evm.TU.Ap10.683,-0.465633751451434
evm.TU.Ap10.684,-0.161015823147446
evm.TU.Ap10.685,NA
evm.TU.Ap10.686,-0.146344565113901
evm.TU.Ap10.687,0.228205267109772
evm.TU.Ap10.688,0.203572416669721
evm.TU.Ap10.689,-0.938915995968858
evm.TU.Ap10.69,0.410026025990779
evm.TU.Ap10.690,0.186813123525506
evm.TU.Ap10.691,-0.852887612594178
evm.TU.Ap10.692,-0.225187589314891
evm.TU.Ap10.693,-0.0810509643760544
evm.TU.Ap10.694,NA
evm.TU.Ap10.695,0.18680601519933
evm.TU.Ap10.696,0.512034252311759
evm.TU.Ap10.697,0.18680601519933
evm.TU.Ap10.698,-0.352963870697057
evm.TU.Ap10.699,-0.03419688924685
evm.TU.Ap10.7,-0.127393763712478
evm.TU.Ap10.70,0.66674547680586
evm.TU.Ap10.700,0.395933265637754
evm.TU.Ap10.701,0
evm.TU.Ap10.702,0
evm.TU.Ap10.703,-0.382518028077676
evm.TU.Ap10.704,0.037367582141403
evm.TU.Ap10.705,0.186801177593606
evm.TU.Ap10.706,0.0111177776858043
evm.TU.Ap10.707,NA
evm.TU.Ap10.708,-1.75478512144622
evm.TU.Ap10.709,0.186803379665566
evm.TU.Ap10.71,0.0308992035445839
evm.TU.Ap10.710,-1.00364840033421
evm.TU.Ap10.711,-0.50194994403954
evm.TU.Ap10.712,-0.542014484750345
evm.TU.Ap10.713,NA
evm.TU.Ap10.714,NA
evm.TU.Ap10.715,0.231552783976264
evm.TU.Ap10.716,NA
evm.TU.Ap10.717,NA
evm.TU.Ap10.718,-0.403984955475134
evm.TU.Ap10.719,0.938767577382131
evm.TU.Ap10.72,0.680952398738933
evm.TU.Ap10.720,-0.834112481899731
evm.TU.Ap10.721,-0.211635661258169
evm.TU.Ap10.722,-0.390230092008186
evm.TU.Ap10.723,0
evm.TU.Ap10.724,NA
evm.TU.Ap10.725,NA
evm.TU.Ap10.726,-0.211633025724405
evm.TU.Ap10.727,-0.197887560654007
evm.TU.Ap10.728,NA
evm.TU.Ap10.729,-0.005545712191595
evm.TU.Ap10.73,0.119227656632542
evm.TU.Ap10.730,-0.820938475663021
evm.TU.Ap10.731,-0.211637891330329
evm.TU.Ap10.732,-0.211636381927571
evm.TU.Ap10.733,-0.18130194748437
evm.TU.Ap10.734,0.893152413230689
evm.TU.Ap10.735,0.408713112579245
evm.TU.Ap10.736,-0.245560878617427
evm.TU.Ap10.737,0.615922614582828
evm.TU.Ap10.738,-0.00196104070517484
evm.TU.Ap10.739,0.272075261182645
evm.TU.Ap10.74,0.186801149593407
evm.TU.Ap10.740,0.418848551608544
evm.TU.Ap10.741,0.20989027843018
evm.TU.Ap10.742,-0.549831568803445
evm.TU.Ap10.743,-0.119312785522022
evm.TU.Ap10.744,-1.07237483310309
evm.TU.Ap10.745,0.235497954699748
evm.TU.Ap10.746,NA
evm.TU.Ap10.747,0.210241848174384
evm.TU.Ap10.748,0.307299051973193
evm.TU.Ap10.749,NA
evm.TU.Ap10.75,NA
evm.TU.Ap10.750,NA
evm.TU.Ap10.751,-0.390237683341204
evm.TU.Ap10.752,0.51047094380277
evm.TU.Ap10.753,-0.87603362361175
evm.TU.Ap10.754,-0.308051262710848
evm.TU.Ap10.755,0.254463432179619
evm.TU.Ap10.756,0.101376706097853
evm.TU.Ap10.757,-1.03075320228146
evm.TU.Ap10.758,-0.148756723121348
evm.TU.Ap10.759,0
evm.TU.Ap10.76,0.567291760955177
evm.TU.Ap10.760,-1.17282353412776
evm.TU.Ap10.761,-1.45859826352018
evm.TU.Ap10.762,-1.00123134518832
evm.TU.Ap10.763,-0.588353597212262
evm.TU.Ap10.764,-0.191767559979146
evm.TU.Ap10.765,0.787385444863199
evm.TU.Ap10.766,-0.538806085305593
evm.TU.Ap10.767,0.203579817342462
evm.TU.Ap10.768,-0.159216392315031
evm.TU.Ap10.769,0.230665188163901
evm.TU.Ap10.77,-0.557592764260922
evm.TU.Ap10.770,0.199039041955183
evm.TU.Ap10.771,-0.616515228740174
evm.TU.Ap10.772,-0.290368889613501
evm.TU.Ap10.773,0.772386540396521
evm.TU.Ap10.774,-0.090127549316683
evm.TU.Ap10.775,NA
evm.TU.Ap10.776,0.156872296221915
evm.TU.Ap10.777,0
evm.TU.Ap10.778,NA
evm.TU.Ap10.779,-0.417297153256757
evm.TU.Ap10.78,0.109857675209914
evm.TU.Ap10.780,-0.660266400757872
evm.TU.Ap10.781,-0.107757671608424
evm.TU.Ap10.782,-0.540336909073553
evm.TU.Ap10.783,0.31235729708069
evm.TU.Ap10.784,0.0877850056327589
evm.TU.Ap10.785,-0.211633025724406
evm.TU.Ap10.786,-0.296153432475433
evm.TU.Ap10.787,0.283478097711463
evm.TU.Ap10.788,-0.65398061545243
evm.TU.Ap10.789,-1.04822378833004
evm.TU.Ap10.79,-0.579561262095429
evm.TU.Ap10.790,-0.133482771981292
evm.TU.Ap10.791,-0.942079789363266
evm.TU.Ap10.792,0.563106161129237
evm.TU.Ap10.793,-0.192872031412789
evm.TU.Ap10.794,-1.18938632984892
evm.TU.Ap10.795,-0.438039054817154
evm.TU.Ap10.796,0.44933234951312
evm.TU.Ap10.797,0.675360970194721
evm.TU.Ap10.798,0.251330722476886
evm.TU.Ap10.799,0.0068296449450297
evm.TU.Ap10.8,0
evm.TU.Ap10.80,-0.330679227686236
evm.TU.Ap10.800,-0.849784591052234
evm.TU.Ap10.801,-0.0724122423772866
evm.TU.Ap10.802,1.87176517464251
evm.TU.Ap10.803,1.28643972783665
evm.TU.Ap10.804,0.479080436517197
evm.TU.Ap10.805,-0.401418172313937
evm.TU.Ap10.806,0.0373950657113101
evm.TU.Ap10.807,-0.48273375123242
evm.TU.Ap10.808,-0.106819530697226
evm.TU.Ap10.809,0
evm.TU.Ap10.81,0.289907382953642
evm.TU.Ap10.810,-0.211627451604835
evm.TU.Ap10.811,-0.0316876756177946
evm.TU.Ap10.812,0.235593065912989
evm.TU.Ap10.813,0.400435439507246
evm.TU.Ap10.814,0.186801149593407
evm.TU.Ap10.815,NA
evm.TU.Ap10.816,0
evm.TU.Ap10.817,0
evm.TU.Ap10.818,-0.390237971632624
evm.TU.Ap10.819,0.251590822948085
evm.TU.Ap10.82,-0.211638536382331
evm.TU.Ap10.820,-0.403982725773974
evm.TU.Ap10.821,0.834203698475717
evm.TU.Ap10.822,-0.19788990562096
evm.TU.Ap10.823,NA
evm.TU.Ap10.824,0.0110519955369382
evm.TU.Ap10.825,NA
evm.TU.Ap10.826,0
evm.TU.Ap10.827,0.18682222843193
evm.TU.Ap10.828,0
evm.TU.Ap10.829,NA
evm.TU.Ap10.83,-0.203988148415531
evm.TU.Ap10.830,NA
evm.TU.Ap10.831,0
evm.TU.Ap10.832,0.0678411517209103
evm.TU.Ap10.833,0.49933531142245
evm.TU.Ap10.834,-0.294935967596354
evm.TU.Ap10.835,NA
evm.TU.Ap10.836,NA
evm.TU.Ap10.837,0.0226659469582006
evm.TU.Ap10.838,-0.599845014719691
evm.TU.Ap10.839,-0.553863275714215
evm.TU.Ap10.84,0.46680276768873
evm.TU.Ap10.840,-0.177967091472366
evm.TU.Ap10.841,0
evm.TU.Ap10.842,-0.444458352431443
evm.TU.Ap10.843,NA
evm.TU.Ap10.844,NA
evm.TU.Ap10.845,NA
evm.TU.Ap10.846,NA
evm.TU.Ap10.847,-0.348227728558749
evm.TU.Ap10.848,-1.52367230299851
evm.TU.Ap10.849,-0.179964629469507
evm.TU.Ap10.85,0.501923288459792
evm.TU.Ap10.850,-0.553430822363302
evm.TU.Ap10.851,-0.699112022271665
evm.TU.Ap10.852,1.50200958048655
evm.TU.Ap10.853,0.633578768662007
evm.TU.Ap10.854,-0.272858285406168
evm.TU.Ap10.855,0.0111960709241575
evm.TU.Ap10.856,0.214128847010056
evm.TU.Ap10.857,-0.202504034454262
evm.TU.Ap10.858,1.00731385002277
evm.TU.Ap10.859,0
evm.TU.Ap10.86,-0.333403363261046
evm.TU.Ap10.860,-0.785378883824522
evm.TU.Ap10.861,NA
evm.TU.Ap10.862,NA
evm.TU.Ap10.863,-0.00553903893433046
evm.TU.Ap10.864,0.0459626039895358
evm.TU.Ap10.865,-0.797437464464072
evm.TU.Ap10.866,-0.546110345878008
evm.TU.Ap10.867,NA
evm.TU.Ap10.868,NA
evm.TU.Ap10.869,-0.604691801764965
evm.TU.Ap10.87,-0.222960651512302
evm.TU.Ap10.870,-0.00554104931647431
evm.TU.Ap10.871,0.617483009382147
evm.TU.Ap10.872,-0.40398132348065
evm.TU.Ap10.873,0.44325613845905
evm.TU.Ap10.874,0.296886689856512
evm.TU.Ap10.875,-0.211633025724405
evm.TU.Ap10.876,NA
evm.TU.Ap10.877,0.840392866216247
evm.TU.Ap10.878,NA
evm.TU.Ap10.879,0
evm.TU.Ap10.88,1.23682032604291
evm.TU.Ap10.880,NA
evm.TU.Ap10.881,-0.770456247801155
evm.TU.Ap10.882,0.470935387098566
evm.TU.Ap10.883,0
evm.TU.Ap10.884,-0.73152999721673
evm.TU.Ap10.885,-0.512735972216938
evm.TU.Ap10.886,-0.337124879673638
evm.TU.Ap10.887,NA
evm.TU.Ap10.888,1.15298506276407
evm.TU.Ap10.889,0.186803582396368
evm.TU.Ap10.89,0.657911372365982
evm.TU.Ap10.890,-0.126770717664891
evm.TU.Ap10.891,0.0851653429809221
evm.TU.Ap10.892,0
evm.TU.Ap10.893,0.19797458431389
evm.TU.Ap10.894,NA
evm.TU.Ap10.895,NA
evm.TU.Ap10.896,0.395937098050018
evm.TU.Ap10.897,0.837076731100645
evm.TU.Ap10.898,0.25229570651976
evm.TU.Ap10.899,0.303552029124129
evm.TU.Ap10.9,NA
evm.TU.Ap10.90,-0.00553114819714819
evm.TU.Ap10.900,0.0558558038427014
evm.TU.Ap10.901,1.30375433100739
evm.TU.Ap10.902,-0.199362236979027
evm.TU.Ap10.903,-0.0503074917485082
evm.TU.Ap10.904,-1.24388516843174
evm.TU.Ap10.905,-0.480805952233733
evm.TU.Ap10.906,0.186800707272207
evm.TU.Ap10.907,-0.0247291419616705
evm.TU.Ap10.908,-0.62283829733405
evm.TU.Ap10.909,0.309346485099092
evm.TU.Ap10.91,0.323368936520831
evm.TU.Ap10.910,-0.0126444190778265
evm.TU.Ap10.911,-0.130578614457918
evm.TU.Ap10.912,-0.476410569271408
evm.TU.Ap10.913,0.203585069395334
evm.TU.Ap10.914,-0.478142501865235
evm.TU.Ap10.915,-0.0852833191925233
evm.TU.Ap10.916,-0.5933095508031
evm.TU.Ap10.917,0.186798071738443
evm.TU.Ap10.918,-0.403979695957556
evm.TU.Ap10.919,-0.403984113740351
evm.TU.Ap10.92,0.460936954103276
evm.TU.Ap10.920,-0.163911467695358
evm.TU.Ap10.921,0.80109839906329
evm.TU.Ap10.922,0.225704775076036
evm.TU.Ap10.923,0.852405731209049
evm.TU.Ap10.924,-0.107019568804995
evm.TU.Ap10.925,-0.211633025724406
evm.TU.Ap10.926,NA
evm.TU.Ap10.927,1.41079203980589
evm.TU.Ap10.928,-1.08398721549603
evm.TU.Ap10.929,-0.384598874679607
evm.TU.Ap10.93,-0.169193327681403
evm.TU.Ap10.930,0.82695576895314
evm.TU.Ap10.931,0.253833183863095
evm.TU.Ap10.932,0.51079016449734
evm.TU.Ap10.933,0.107836617133065
evm.TU.Ap10.934,0.743180209118438
evm.TU.Ap10.935,0
evm.TU.Ap10.936,NA
evm.TU.Ap10.937,0
evm.TU.Ap10.938,NA
evm.TU.Ap10.939,0.186803582396368
evm.TU.Ap10.94,-0.573193246716587
evm.TU.Ap10.940,0.0608788706408179
evm.TU.Ap10.941,0.279741998798009
evm.TU.Ap10.942,-0.596334380289572
evm.TU.Ap10.943,-0.00553614324046158
evm.TU.Ap10.944,-1.34532647088546
evm.TU.Ap10.945,-0.0891258430629535
evm.TU.Ap10.946,0.186803379665566
evm.TU.Ap10.947,-0.787161539262325
evm.TU.Ap10.948,NA
evm.TU.Ap10.949,0.078001878586803
evm.TU.Ap10.95,1.71952175244461
evm.TU.Ap10.950,-0.022676463853689
evm.TU.Ap10.951,-0.393037776600377
evm.TU.Ap10.952,0.283368813548902
evm.TU.Ap10.953,0.103235746083764
evm.TU.Ap10.954,0.0566877501265975
evm.TU.Ap10.955,-0.120314935245706
evm.TU.Ap10.956,0.481388022927863
evm.TU.Ap10.957,0.0547245492422099
evm.TU.Ap10.958,0.527200468708606
evm.TU.Ap10.959,0
evm.TU.Ap10.96,-1.72003199541619
evm.TU.Ap10.960,0.452951597514283
evm.TU.Ap10.961,NA
evm.TU.Ap10.962,0.193040935956069
evm.TU.Ap10.963,1.8534095257855
evm.TU.Ap10.964,0.655531116744302
evm.TU.Ap10.965,0.841148351417798
evm.TU.Ap10.966,0.50510475920123
evm.TU.Ap10.967,0.39589974197306
evm.TU.Ap10.968,NA
evm.TU.Ap10.969,0.868795602779016
evm.TU.Ap10.97,1.13621198235305
evm.TU.Ap10.970,2.1644480746414
evm.TU.Ap10.971,0
evm.TU.Ap10.972,-0.40398351419134
evm.TU.Ap10.973,0
evm.TU.Ap10.974,0
evm.TU.Ap10.975,1.25639844943624
evm.TU.Ap10.976,0.504570706636711
evm.TU.Ap10.977,-0.565583233237839
evm.TU.Ap10.978,0.431987325128009
evm.TU.Ap10.979,0.271337284552002
evm.TU.Ap10.98,0
evm.TU.Ap10.980,-0.197883740367893
evm.TU.Ap10.981,0.237880277527343
evm.TU.Ap10.982,0.81900528673875
evm.TU.Ap10.983,-0.347802624978278
evm.TU.Ap10.984,0.374625296566762
evm.TU.Ap10.985,NA
evm.TU.Ap10.986,NA
evm.TU.Ap10.987,NA
evm.TU.Ap10.988,NA
evm.TU.Ap10.989,NA
evm.TU.Ap10.99,0.61666697671452
evm.TU.Ap10.990,0
evm.TU.Ap10.991,-0.211643567859461
evm.TU.Ap10.992,0.295346174892837
evm.TU.Ap10.993,0.355469388543961
evm.TU.Ap10.994,-0.368383606077392
evm.TU.Ap10.995,-0.278304981403018
evm.TU.Ap10.996,0.0375708088193644
evm.TU.Ap10.997,0.17791744138011
evm.TU.Ap10.998,-1.25385086957948
evm.TU.Ap10.999,0.390321788998885
evm.TU.Ap11.1,0
evm.TU.Ap11.10,-0.211635900848567
evm.TU.Ap11.100,0
evm.TU.Ap11.1000,-0.181755180600142
evm.TU.Ap11.1001,0.186803140075169
evm.TU.Ap11.1002,-0.769496605096827
evm.TU.Ap11.1003_evm.TU.Ap11.1005,0.114647679327593
evm.TU.Ap11.1004,NA
evm.TU.Ap11.1006,NA
evm.TU.Ap11.1007,NA
evm.TU.Ap11.1008,-0.0174843054658021
evm.TU.Ap11.1009,0
evm.TU.Ap11.101,0
evm.TU.Ap11.1010,-0.289769580910934
evm.TU.Ap11.1011,1.62817584960258
evm.TU.Ap11.1012,-0.111266484811832
evm.TU.Ap11.1013,0
evm.TU.Ap11.1014,0.395931072427118
evm.TU.Ap11.1015,NA
evm.TU.Ap11.1016,NA
evm.TU.Ap11.1017,1.7320692042201
evm.TU.Ap11.1018,0.18681054025388
evm.TU.Ap11.1019,0.458401499990306
evm.TU.Ap11.102,0.128852445213266
evm.TU.Ap11.1020,NA
evm.TU.Ap11.1021,0.291967560749633
evm.TU.Ap11.1022,NA
evm.TU.Ap11.1023,0.120063457146386
evm.TU.Ap11.1024,-0.0892248503834469
evm.TU.Ap11.1025,0.0478498401649403
evm.TU.Ap11.1026,0.252091188560818
evm.TU.Ap11.1027,0.990026620430534
evm.TU.Ap11.1028,0.0851238167997105
evm.TU.Ap11.1029,0.0806959427982872
evm.TU.Ap11.103,-0.00554104931647413
evm.TU.Ap11.1030,-0.484076846155945
evm.TU.Ap11.1031,NA
evm.TU.Ap11.1032,0.354129952716209
evm.TU.Ap11.1033,-0.420906674353949
evm.TU.Ap11.1034,0
evm.TU.Ap11.1035,-0.678846145454444
evm.TU.Ap11.1036,NA
evm.TU.Ap11.1037,-0.358410087604912
evm.TU.Ap11.1038,-0.00553841378270987
evm.TU.Ap11.1039,0.18680601519933
evm.TU.Ap11.104,-0.00553630114036797
evm.TU.Ap11.1040,0.203591880894677
evm.TU.Ap11.1041,0.206988365219851
evm.TU.Ap11.1042,0.0167189413301984
evm.TU.Ap11.1043,0.957271042920726
evm.TU.Ap11.1044,0
evm.TU.Ap11.1045,-0.298677179351723
evm.TU.Ap11.1046,0.131614077303014
evm.TU.Ap11.1047,0.191542839880011
evm.TU.Ap11.1048,-0.0277329937894078
